Year,Business (Main),Business (All),Status,Holding Name,Postcode,Field Group,Parent Field Name,Field Defined Name,Part Field Reference,Official Area ha,Map Sheet,NG Number,Field Number,Field Reference,Crop Group,Variety,Actual Issued Date,Product Name,Application Area ha,Rate per Application Area ha,Working Area ha,Rate per Working Area ha,Quantity,Units,Fertiliser Nutrient Name,Fertiliser Nutrient Rate per Working Area,Crop Sequence
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B,B,22.44,SK8951,3169,105,Airfield,Rape Winter,LG Adeline,45166,DAP 18.46.0,22.44,105.607,22.44,105.607,2369.818,kg,N,19.01,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B,B,22.44,SK8951,3169,105,Airfield,Rape Winter,LG Adeline,45166,DAP 18.46.0,22.44,105.607,22.44,105.607,2369.818,kg,P2O5,48.58,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Barrier Field,Barrier Field.B,B,9.36,SK8850,9599,113,Barrier Field,Rape Winter,LG Adeline,45163,DAP 18.46.0,9.36,105.607,9.36,105.607,988.48,kg,N,19.01,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Barrier Field,Barrier Field.B,B,9.36,SK8850,9599,113,Barrier Field,Rape Winter,LG Adeline,45163,DAP 18.46.0,9.36,105.607,9.36,105.607,988.48,kg,P2O5,48.58,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Bottom/Top Simons,Bottom/Top Simons.B,B,18.84,SK8851,8636,125,Bottom/Top Simons,Rape Winter,LG Adeline,45164,DAP 18.46.0,18.84,105.607,18.84,105.607,1989.633,kg,N,19.01,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Bottom/Top Simons,Bottom/Top Simons.B,B,18.84,SK8851,8636,125,Bottom/Top Simons,Rape Winter,LG Adeline,45164,DAP 18.46.0,18.84,105.607,18.84,105.607,1989.633,kg,P2O5,48.58,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Bullock Field,Bullock Field.B,B,21.56,SK8949,6209,128,Bullock Field,Sugar Beet,Button,45395,DAP 18.46.0,21.56,103.078,21.56,103.078,2222.372,kg,N,18.55,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Bullock Field,Bullock Field.B,B,21.56,SK8949,6209,128,Bullock Field,Sugar Beet,Button,45395,DAP 18.46.0,21.56,103.078,21.56,103.078,2222.372,kg,P2O5,47.42,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Concrete Field,Concrete Field.C,C,4.81,SK8851,6301,138,Concrete Field,Rape Winter,LG Adeline,45164,DAP 18.46.0,4.81,105.607,4.81,105.607,507.969,kg,N,19.01,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Concrete Field,Concrete Field.C,C,4.81,SK8851,6301,138,Concrete Field,Rape Winter,LG Adeline,45164,DAP 18.46.0,4.81,105.607,4.81,105.607,507.969,kg,P2O5,48.58,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Cow Field,Cow Field.B,B,41.1,SK8949,1806,142,Cow Field,Maize Forage,Resolute,45416,DAP 18.46.0,41.1,103.078,41.1,103.078,4236.525,kg,N,18.55,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Cow Field,Cow Field.B,B,41.1,SK8949,1806,142,Cow Field,Maize Forage,Resolute,45416,DAP 18.46.0,41.1,103.078,41.1,103.078,4236.525,kg,P2O5,47.42,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Dryer Field,Dryer Field.B,B,15.93,SK8849,6421,163,Dryer Field,Sugar Beet,Button,45395,DAP 18.46.0,15.93,103.078,15.93,103.078,1642.04,kg,N,18.55,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Dryer Field,Dryer Field.B,B,15.93,SK8849,6421,163,Dryer Field,Sugar Beet,Button,45395,DAP 18.46.0,15.93,103.078,15.93,103.078,1642.04,kg,P2O5,47.42,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Gokart Field,Gokart Field.B,B,4.08,SK8949,9055,196,,Maize Forage,Resolute,45416,DAP 18.46.0,4.08,103.078,4.08,103.078,420.56,kg,N,18.55,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Gokart Field,Gokart Field.B,B,4.08,SK8949,9055,196,,Maize Forage,Resolute,45416,DAP 18.46.0,4.08,103.078,4.08,103.078,420.56,kg,P2O5,47.42,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Green Walk,Green Walk.B,B,4.22,SK8849,2707,199,,Sugar Beet,Button,45395,DAP 18.46.0,4.22,103.078,4.22,103.078,434.991,kg,N,18.55,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Green Walk,Green Walk.B,B,4.22,SK8849,2707,199,,Sugar Beet,Button,45395,DAP 18.46.0,4.22,103.078,4.22,103.078,434.991,kg,P2O5,47.42,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Lane Field,Lane Field.B,B,12.06,SK9049,1464,218,,Sugar Beet,Button,45395,DAP 18.46.0,12.06,103.078,12.06,103.078,1243.126,kg,N,18.55,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Lane Field,Lane Field.B,B,12.06,SK9049,1464,218,,Sugar Beet,Button,45395,DAP 18.46.0,12.06,103.078,12.06,103.078,1243.126,kg,P2O5,47.42,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,North 20ac,North 20ac.B,B,7.26,SK8951,294,247,North 20ac,Rape Winter,LG Adeline,45166,DAP 18.46.0,7.26,105.607,7.26,105.607,766.706,kg,N,19.01,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,North 20ac,North 20ac.B,B,7.26,SK8951,294,247,North 20ac,Rape Winter,LG Adeline,45166,DAP 18.46.0,7.26,105.607,7.26,105.607,766.706,kg,P2O5,48.58,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,North Field,North Field.B,B,30.92,SK8851,3826,249,,Rape Winter,LG Adeline,45164,DAP 18.46.0,30.92,105.607,30.92,105.607,3265.364,kg,N,19.01,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,North Field,North Field.B,B,30.92,SK8851,3826,249,,Rape Winter,LG Adeline,45164,DAP 18.46.0,30.92,105.607,30.92,105.607,3265.364,kg,P2O5,48.58,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Popular Field,Popular Field.B,B,6.45,SK8848,7180,259,,Maize Forage,Resolute,45416,DAP 18.46.0,6.45,103.078,6.45,103.078,664.856,kg,N,18.55,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Popular Field,Popular Field.B,B,6.45,SK8848,7180,259,,Maize Forage,Resolute,45416,DAP 18.46.0,6.45,103.078,6.45,103.078,664.856,kg,P2O5,47.42,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Stack Field,Stack Field.B,B,3.74,SK8848,4586,286,,Sugar Beet,Button,45396,DAP 18.46.0,3.74,103.078,3.74,103.078,385.513,kg,N,18.55,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Stack Field,Stack Field.B,B,3.74,SK8848,4586,286,,Sugar Beet,Button,45396,DAP 18.46.0,3.74,103.078,3.74,103.078,385.513,kg,P2O5,47.42,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,The Park,The Park.B,B,16.45,SK8748,8898,301,,Maize Forage,Resolute,45417,DAP 18.46.0,16.45,103.078,16.45,103.078,1695.641,kg,N,18.55,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,The Park,The Park.B,B,16.45,SK8748,8898,301,,Maize Forage,Resolute,45417,DAP 18.46.0,16.45,103.078,16.45,103.078,1695.641,kg,P2O5,47.42,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Widnes,Widnes.B,B,27.5,SK9050,418,325,,Maize Forage,Resolute,45417,DAP 18.46.0,24.51,103.078,27.5,91.871,2526.453,kg,N,16.54,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Widnes,Widnes.B,B,27.5,SK9050,418,325,,Maize Forage,Resolute,45417,DAP 18.46.0,24.51,103.078,27.5,91.871,2526.453,kg,P2O5,42.26,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Wood Field,Wood Field.B,B,10.75,SK8949,1663,327,,Sugar Beet,Button,45396,DAP 18.46.0,10.75,103.078,10.75,103.078,1108.093,kg,N,18.55,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Wood Field,Wood Field.B,B,10.75,SK8949,1663,327,,Sugar Beet,Button,45396,DAP 18.46.0,10.75,103.078,10.75,103.078,1108.093,kg,P2O5,47.42,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B,B,22.44,SK8951,3169,105,Airfield,Rape Winter,LG Adeline,45393,Folex B,22.44,2.713,22.44,2.713,60.886,L,B,0.41,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Balloon Field,Balloon Field.B,B,18.84,SK8849,764,110,Balloon Field,Wheat Winter,Crusoe,45431,Folex B,18.84,0.452,18.84,0.452,8.52,L,B,0.07,2
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Barrier Field,Barrier Field.B,B,9.36,SK8850,9599,113,Barrier Field,Rape Winter,LG Adeline,45393,Folex B,9.36,2.713,9.36,2.713,25.396,L,B,0.41,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Bottom/Top Simons,Bottom/Top Simons.B,B,18.84,SK8851,8636,125,Bottom/Top Simons,Rape Winter,LG Adeline,45393,Folex B,18.84,2.713,18.84,2.713,51.118,L,B,0.41,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Brandon Field,Brandon Field.B,B,13.7,SK8947,9181,126,Brandon Field,Wheat Spring,Nissaba,45448,Folex B,13.7,0.452,13.7,0.452,6.195,L,B,0.07,2
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Bridge Field Stub,Bridge Field Stub.B,B,29.9,SK8948,4604,127,Bridge Field Stub,Wheat Spring,KWS Cochise,45447,Folex B,29.9,0.452,29.9,0.452,13.521,L,B,0.07,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Bullock Field,Bullock Field.B,B,21.56,SK8949,6209,128,Bullock Field,Sugar Beet,Button,45525,Folex B,21.56,2.713,21.56,2.713,58.498,L,B,0.41,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Concrete Field,Concrete Field.C,C,4.81,SK8851,6301,138,Concrete Field,Rape Winter,LG Adeline,45393,Folex B,4.81,2.713,4.81,2.713,13.051,L,B,0.41,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Conifer Field,Conifer Field.C,C,21.42,SK8749,9636,139,Conifer Field,Wheat Winter,Crusoe,45431,Folex B,21.42,0.452,21.42,0.452,9.686,L,B,0.07,2
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Dryer Field,Dryer Field.B,B,15.93,SK8849,6421,163,Dryer Field,Sugar Beet,Button,45527,Folex B,15.93,2.713,15.93,2.713,43.222,L,B,0.41,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,England Field,England Field.C,C,30.92,SK8850,7215,166,England Field,Wheat Winter,Crusoe,45432,Folex B,30.92,0.452,30.92,0.452,13.982,L,B,0.07,2
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Gorse Field,Gorse Field.B,B,16.36,SK8949,6185,197,,Oats Winter,Mascani,45431,Folex B,16.36,0.452,16.36,0.452,7.398,L,B,0.07,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Grahams Field,Grahams Field.B,B,2.53,SK8848,8556,198,,Rye Winter,KWS Tayo,45408,Folex B,2.53,0.452,2.53,0.452,1.144,L,B,0.07,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Green Walk,Green Walk.B,B,4.22,SK8849,2707,199,,Sugar Beet,Button,45527,Folex B,4.22,2.713,4.22,2.713,11.45,L,B,0.41,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Lane Field,Lane Field.B,B,12.06,SK9049,1464,218,,Sugar Beet,Button,45527,Folex B,12.06,2.713,12.06,2.713,32.722,L,B,0.41,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Lillies Meadow,Lillies Meadow.B,B,6.72,SK8947,1490,224,,Rye Winter,KWS Tayo,45408,Folex B,6.72,0.452,6.72,0.452,3.039,L,B,0.07,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Little Gates,Little Gates.C,C,41.1,SK8748,9425,225,,Wheat Winter,KWS Extase,45432,Folex B,41.1,0.452,41.1,0.452,18.586,L,B,0.07,2
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Long Field (Stubton),Long Field (Stubton).B,B,30.88,SK8850,4818,228,,Wheat Winter,Crusoe,45432,Folex B,30.88,0.452,30.88,0.452,13.964,L,B,0.07,2
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Middle Field,Middle Field.C,C,22.02,SK8750,9738,236,,Wheat Winter,Crusoe,45431,Folex B,22.02,0.452,22.02,0.452,9.958,L,B,0.07,2
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Modder,Modder.C,C,13.42,SK8848,6325,240,,Rye Winter,KWS Tayo,45408,Folex B,13.42,0.452,13.42,0.452,6.069,L,B,0.07,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,North 20ac,North 20ac.B,B,7.26,SK8951,294,247,North 20ac,Rape Winter,LG Adeline,45393,Folex B,7.26,2.713,7.26,2.713,19.698,L,B,0.41,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,North Field,North Field.B,B,30.92,SK8851,3826,249,,Rape Winter,LG Adeline,45393,Folex B,30.92,2.713,30.92,2.713,83.894,L,B,0.41,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Rectory,Rectory.B,B,17.33,SK8748,6143,262,,Wheat Winter,KWS Extase,45432,Folex B,17.33,0.452,17.33,0.452,7.837,L,B,0.07,2
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Rookery,Rookery.B,B,13.34,SK8749,9194,264,,Wheat Winter,Crusoe,45431,Folex B,13.34,0.452,13.34,0.452,6.032,L,B,0.07,2
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,South Yard Field,South Yard Field.B,B,14.78,SK8848,3851,282,,Rye Winter,KWS Tayo,45408,Folex B,14.78,0.452,14.78,0.452,6.684,L,B,0.07,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,South Yard Field,South Yard Field.D,D,4.25,SK8848,3851,282,,Barley Spring,Laureate,45447,Folex B,4.25,0.452,4.25,0.452,1.922,L,B,0.07,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Stack Field,Stack Field.B,B,3.74,SK8848,4586,286,,Sugar Beet,Button,45527,Folex B,3.74,2.713,3.74,2.713,10.148,L,B,0.41,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Village Field,Village Field.B,B,9.44,SK8850,3266,315,,Wheat Winter,Crusoe,45432,Folex B,9.44,0.452,9.44,0.452,4.269,L,B,0.07,2
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Warren,Warren.B,B,13.27,SK8948,331,322,,Wheat Spring,Nissaba,45447,Folex B,13.27,0.452,13.27,0.452,6.001,L,B,0.07,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Wedding Field,Wedding Field.B,B,5.9,SK8849,7054,323,,Wheat Winter,Crusoe,45431,Folex B,5.9,0.452,5.9,0.452,2.668,L,B,0.07,2
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Wood Field,Wood Field.B,B,10.75,SK8949,1663,327,,Sugar Beet,Button,45527,Folex B,10.75,2.713,10.75,2.713,29.168,L,B,0.41,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B,B,22.44,SK8951,3169,105,Airfield,Rape Winter,LG Adeline,45147,Kalfos,22.44,509.047,22.44,509.047,11423.005,kg,CaO,167.99,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B,B,22.44,SK8951,3169,105,Airfield,Rape Winter,LG Adeline,45147,Kalfos,22.44,509.047,22.44,509.047,11423.005,kg,K2O,20.36,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B,B,22.44,SK8951,3169,105,Airfield,Rape Winter,LG Adeline,45147,Kalfos,22.44,509.047,22.44,509.047,11423.005,kg,MgO,5.09,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B,B,22.44,SK8951,3169,105,Airfield,Rape Winter,LG Adeline,45147,Kalfos,22.44,509.047,22.44,509.047,11423.005,kg,Na2O,50.9,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B,B,22.44,SK8951,3169,105,Airfield,Rape Winter,LG Adeline,45147,Kalfos,22.44,509.047,22.44,509.047,11423.005,kg,P2O5,122.17,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B,B,22.44,SK8951,3169,105,Airfield,Rape Winter,LG Adeline,45147,Kalfos,22.44,509.047,22.44,509.047,11423.005,kg,SO3,30.54,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Barrier Field,Barrier Field.B,B,9.36,SK8850,9599,113,Barrier Field,Rape Winter,LG Adeline,45147,Kalfos,9.36,509.047,9.36,509.047,4764.676,kg,CaO,167.99,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Barrier Field,Barrier Field.B,B,9.36,SK8850,9599,113,Barrier Field,Rape Winter,LG Adeline,45147,Kalfos,9.36,509.047,9.36,509.047,4764.676,kg,K2O,20.36,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Barrier Field,Barrier Field.B,B,9.36,SK8850,9599,113,Barrier Field,Rape Winter,LG Adeline,45147,Kalfos,9.36,509.047,9.36,509.047,4764.676,kg,MgO,5.09,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Barrier Field,Barrier Field.B,B,9.36,SK8850,9599,113,Barrier Field,Rape Winter,LG Adeline,45147,Kalfos,9.36,509.047,9.36,509.047,4764.676,kg,Na2O,50.9,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Barrier Field,Barrier Field.B,B,9.36,SK8850,9599,113,Barrier Field,Rape Winter,LG Adeline,45147,Kalfos,9.36,509.047,9.36,509.047,4764.676,kg,P2O5,122.17,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Barrier Field,Barrier Field.B,B,9.36,SK8850,9599,113,Barrier Field,Rape Winter,LG Adeline,45147,Kalfos,9.36,509.047,9.36,509.047,4764.676,kg,SO3,30.54,1
