Year,Business (Main),Business (All),Holding Name,Postcode,Field Group,Parent Field Name,Field Defined Name,Part Field Reference,Official Area ha,Map Sheet,NG Number,Field Number,Field Reference,Crop Group,Variety,Cropping Record Active,Crop Reference,Crop Residue,Crop End Use,Crop Sequence,Working Area ha,Target Yield,Target Yield Units,Total Yield
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B,B,22.44,SK8951,3169,105,Airfield,Rape Winter,LG Adeline,Yes,,Incorporated/None,Any Use,1,22.44,40,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Balloon Field,Balloon Field.B,B,18.84,SK8849,764,110,Balloon Field,EFA Green Cover,GFP Special Mix 22,Yes,,Incorporated/None,Any Use,1,18.84,0,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Balloon Field,Balloon Field.B,B,18.84,SK8849,764,110,Balloon Field,Wheat Winter,Crusoe,Yes,,Incorporated/None,Any Use,2,18.84,10,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Barrier Field,Barrier Field.B,B,9.36,SK8850,9599,113,Barrier Field,Rape Winter,LG Adeline,Yes,,Incorporated/None,Any Use,1,9.36,40,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Bottom/Top Simons,Bottom/Top Simons.B,B,18.84,SK8851,8636,125,Bottom/Top Simons,Rape Winter,LG Adeline,Yes,,Incorporated/None,Any Use,1,18.84,40,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Brandon Field,Brandon Field.B,B,13.7,SK8947,9181,126,Brandon Field,EFA Green Cover,GFP Special Mix 22,Yes,,Incorporated/None,Any Use,1,13.7,0,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Brandon Field,Brandon Field.B,B,13.7,SK8947,9181,126,Brandon Field,Wheat Spring,Nissaba,Yes,,Incorporated/None,Any Use,2,13.7,9,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Bridge Field Stub,Bridge Field Stub.B,B,29.9,SK8948,4604,127,Bridge Field Stub,Wheat Spring,KWS Cochise,Yes,,Incorporated/None,Any Use,1,29.9,9,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Bullock Field,Bullock Field.B,B,21.56,SK8949,6209,128,Bullock Field,Sugar Beet,Button,Yes,,Incorporated/None,Any Use,1,21.56,80,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Concrete Field,Concrete Field.C,C,4.81,SK8851,6301,138,Concrete Field,Rape Winter,LG Adeline,Yes,,Incorporated/None,Any Use,1,4.81,40,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Conifer Field,Conifer Field.C,C,21.42,SK8749,9636,139,Conifer Field,EFA Green Cover,GFP Special Mix 22,Yes,,Removed,Any Use,1,21.42,0,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Conifer Field,Conifer Field.C,C,21.42,SK8749,9636,139,Conifer Field,Wheat Winter,Crusoe,Yes,,Incorporated/None,Any Use,2,21.42,10,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Cow Field,Cow Field.B,B,41.1,SK8949,1806,142,Cow Field,Maize Forage,Resolute,Yes,,Removed,Any Use,1,41.1,40,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Dryer Field,Dryer Field.B,B,15.93,SK8849,6421,163,Dryer Field,Sugar Beet,Button,Yes,,Incorporated/None,Any Use,1,15.93,80,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,England Field,England Field.C,C,30.92,SK8850,7215,166,England Field,EFA Green Cover,GFP Special Mix 22,Yes,,Incorporated/None,Any Use,1,30.92,0,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,England Field,England Field.C,C,30.92,SK8850,7215,166,England Field,Wheat Winter,Crusoe,Yes,,Incorporated/None,Any Use,2,30.92,10,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Gokart Field,Gokart Field.B,B,4.08,SK8949,9055,196,,Maize Forage,Resolute,Yes,,Removed,Any Use,1,4.08,40,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Gorse Field,Gorse Field.B,B,16.36,SK8949,6185,197,,Oats Winter,Mascani,Yes,,Removed,Any Use,1,16.36,10,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Grahams Field,Grahams Field.B,B,2.53,SK8848,8556,198,,Rye Winter,KWS Tayo,Yes,,Removed,Any Use,1,2.53,8,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Green Walk,Green Walk.B,B,4.22,SK8849,2707,199,,Sugar Beet,Button,Yes,,Incorporated/None,Any Use,1,4.22,80,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Lane Field,Lane Field.B,B,12.06,SK9049,1464,218,,Sugar Beet,Button,Yes,,Incorporated/None,Any Use,1,12.06,80,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Lillies Meadow,Lillies Meadow.B,B,6.72,SK8947,1490,224,,Rye Winter,KWS Tayo,Yes,,Removed,Any Use,1,6.72,8,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Little Gates,Little Gates.C,C,41.1,SK8748,9425,225,,EFA Green Cover,GFP Special Mix 22,Yes,,Incorporated/None,Any Use,1,41.1,0,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Little Gates,Little Gates.C,C,41.1,SK8748,9425,225,,Wheat Winter,KWS Extase,Yes,,Incorporated/None,Any Use,2,41.1,10,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Long Field (Stubton),Long Field (Stubton).B,B,30.88,SK8850,4818,228,,EFA Green Cover,GFP Special Mix 22,Yes,,Incorporated/None,Any Use,1,30.88,10,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Long Field (Stubton),Long Field (Stubton).B,B,30.88,SK8850,4818,228,,Wheat Winter,Crusoe,Yes,,Incorporated/None,Any Use,2,30.88,10,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Middle Field,Middle Field.C,C,22.02,SK8750,9738,236,,EFA Green Cover,GFP Special Mix 22,Yes,,Incorporated/None,Any Use,1,22.02,10,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Middle Field,Middle Field.C,C,22.02,SK8750,9738,236,,Wheat Winter,Crusoe,Yes,,Incorporated/None,Any Use,2,22.02,10,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Modder,Modder.C,C,13.42,SK8848,6325,240,,Rye Winter,KWS Tayo,Yes,,Removed,Any Use,1,13.42,8,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,North 20ac,North 20ac.B,B,7.26,SK8951,294,247,North 20ac,Rape Winter,LG Adeline,Yes,,Incorporated/None,Any Use,1,7.26,40,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,North Field,North Field.B,B,30.92,SK8851,3826,249,,Rape Winter,LG Adeline,Yes,,Incorporated/None,Any Use,1,30.92,40,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Popular Field,Popular Field.B,B,6.45,SK8848,7180,259,,Maize Forage,Resolute,Yes,,Removed,Any Use,1,6.45,40,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Rectory,Rectory.B,B,17.33,SK8748,6143,262,,EFA Green Cover,GFP Special Mix 22,Yes,,Incorporated/None,Any Use,1,17.33,0,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Rectory,Rectory.B,B,17.33,SK8748,6143,262,,Wheat Winter,KWS Extase,Yes,,Incorporated/None,Any Use,2,17.33,10,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Rookery,Rookery.B,B,13.34,SK8749,9194,264,,EFA Green Cover,GFP Special Mix 22,Yes,,Incorporated/None,Any Use,1,13.34,0,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Rookery,Rookery.B,B,13.34,SK8749,9194,264,,Wheat Winter,Crusoe,Yes,,Incorporated/None,Any Use,2,13.34,10,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,South Yard Field,South Yard Field.B,B,14.78,SK8848,3851,282,,Rye Winter,KWS Tayo,Yes,,Removed,Forage,1,14.78,8,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,South Yard Field,South Yard Field.D,D,4.25,SK8848,3851,282,,Barley Spring,Laureate,Yes,,Removed,Any Use,1,4.25,7,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Stack Field,Stack Field.B,B,3.74,SK8848,4586,286,,Sugar Beet,Button,Yes,,Incorporated/None,Any Use,1,3.74,80,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,The Park,The Park.B,B,16.45,SK8748,8898,301,,Maize Forage,Resolute,Yes,,Removed,Any Use,1,16.45,40,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Village Field,Village Field.B,B,9.44,SK8850,3266,315,,EFA Green Cover,GFP Special Mix 22,Yes,,Incorporated/None,Any Use,1,9.44,0,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Village Field,Village Field.B,B,9.44,SK8850,3266,315,,Wheat Winter,Crusoe,Yes,,Incorporated/None,Any Use,2,9.44,10,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Warren,Warren.B,B,13.27,SK8948,331,322,,Wheat Spring,Nissaba,Yes,,Removed,Any Use,1,13.27,9,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Wedding Field,Wedding Field.B,B,5.9,SK8849,7054,323,,EFA Green Cover,GFP Special Mix 22,Yes,,Removed,Any Use,1,5.9,0,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Wedding Field,Wedding Field.B,B,5.9,SK8849,7054,323,,Wheat Winter,Crusoe,Yes,,Incorporated/None,Any Use,2,5.9,10,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Widnes,Widnes.B,B,27.5,SK9050,418,325,,Maize Forage,Resolute,Yes,,Removed,Any Use,1,27.5,40,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Wood Field,Wood Field.B,B,10.75,SK8949,1663,327,,Sugar Beet,Button,Yes,,Incorporated/None,Any Use,1,10.75,80,t,0
,,,,,,,,,,,,,,,,,,,,,808.48,,,